Data,Hora_Inicio,Hora_Fim,Duracao_Segundos,Latencia_Media_Pico,Latencia_Min_Pico,Latencia_Max_Pico,Pings_Afetados,Numero_Ping_Inicio,Metodo_Deteccao,Baseline_Media,Baseline_Min,Baseline_Max,Aumento_Percentual
2025-10-17,08:38:56,08:39:30,33.38,22.68,13.00,199.00,56,47174,"desvio estatístico (média=13.7ms, limite=17.3ms)",14.30,12.00,40.00,58.6%
2025-10-17,08:41:45,08:41:57,12.04,38.53,13.00,258.00,15,47508,"desvio estatístico (média=14.1ms, limite=16.0ms)",14.18,13.00,19.00,171.7%
2025-10-17,08:42:51,08:43:05,13.47,26.67,13.00,63.00,18,47641,"desvio estatístico (média=14.4ms, limite=20.1ms)",15.90,13.00,63.00,67.7%
2025-10-17,08:48:08,08:48:18,9.54,26.10,13.00,55.00,10,48273,"desvio estatístico (média=14.5ms, limite=21.6ms)",14.46,13.00,32.00,80.5%
2025-10-17,09:00:08,09:00:16,8.56,159.33,13.00,1290.00,9,49703,threshold fixo (100ms),40.24,13.00,1290.00,296.0%
2025-10-17,09:14:25,09:14:42,17.54,25.96,13.00,64.00,26,51409,"desvio estatístico (média=15.2ms, limite=24.8ms)",14.94,13.00,26.00,73.8%
2025-10-17,09:34:40,09:34:55,15.46,26.77,13.00,63.00,22,53823,"desvio estatístico (média=15.6ms, limite=29.6ms)",16.26,13.00,42.00,64.7%
2025-10-17,09:38:27,09:38:50,22.97,32.70,14.00,102.00,37,54274,"desvio estatístico (média=14.9ms, limite=23.7ms)",16.94,13.00,94.00,93.1%
2025-10-17,09:38:52,09:39:26,34.90,31.08,12.00,111.00,60,54324,"desvio estatístico (média=14.9ms, limite=23.7ms)",17.24,13.00,94.00,80.3%
2025-10-17,09:40:42,09:40:55,12.82,62.53,14.00,277.00,17,54543,threshold fixo (100ms),20.78,12.00,242.00,200.9%
2025-10-17,09:43:56,09:44:07,10.65,32.54,12.00,105.00,13,54800,"desvio estatístico (média=18.7ms, limite=69.6ms)",16.74,12.00,72.00,94.4%
2025-10-17,09:45:55,09:46:06,10.96,69.31,15.00,184.00,13,55037,threshold fixo (100ms),22.88,12.00,184.00,202.9%
2025-10-17,09:57:52,09:57:59,6.96,47.40,28.00,70.00,5,56323,"desvio estatístico (média=29.9ms, limite=42.3ms)",30.50,28.00,70.00,55.4%
2025-10-17,09:59:47,09:59:54,6.96,48.60,33.00,105.00,5,56551,threshold fixo (100ms),31.08,28.00,105.00,56.4%
2025-10-17,10:00:26,10:00:33,7.32,75.60,45.00,97.00,5,56629,"desvio estatístico (média=31.8ms, limite=64.3ms)",34.96,28.00,128.00,116.2%
