Data,Hora_Inicio,Hora_Fim,Duracao_Segundos,Latencia_Media_Pico,Latencia_Min_Pico,Latencia_Max_Pico,Pings_Afetados,Numero_Ping_Inicio,Metodo_Deteccao,Baseline_Media,Baseline_Min,Baseline_Max,Aumento_Percentual
2025-10-16,11:08:18,11:08:32,14.03,61.80,35.00,134.00,5,4260,"desvio estatístico (média=35.3ms, limite=39.6ms)",35.38,34.00,55.00,74.7%
2025-10-16,11:25:33,11:25:40,6.97,69.00,46.00,97.00,5,544,"desvio estatístico (média=35.0ms, limite=38.1ms)",35.34,34.00,65.00,95.2%
2025-10-16,11:41:33,11:41:44,10.42,56.42,35.00,134.00,12,2459,threshold fixo (100ms),37.02,34.00,126.00,52.4%
2025-10-16,11:42:39,11:42:46,6.89,91.80,37.00,153.00,5,2590,threshold fixo (100ms),39.04,34.00,153.00,135.1%
2025-10-16,11:57:30,11:57:37,6.94,71.60,59.00,85.00,5,4365,"desvio estatístico (média=35.5ms, limite=42.8ms)",36.68,34.00,84.00,95.2%
2025-10-16,12:28:25,12:28:33,7.47,58.67,44.00,88.00,6,8058,"desvio estatístico (média=35.1ms, limite=39.7ms)",36.12,34.00,76.00,62.4%
2025-10-16,12:48:31,12:48:39,7.47,74.50,51.00,100.00,6,10461,"desvio estatístico (média=35.1ms, limite=39.4ms)",35.34,34.00,51.00,110.8%
2025-10-16,13:08:41,13:08:48,6.98,69.00,35.00,105.00,5,12870,"desvio estatístico (média=34.6ms, limite=36.3ms)",34.88,34.00,50.00,97.8%
2025-10-16,13:18:44,13:18:51,6.95,68.00,55.00,83.00,5,14074,"desvio estatístico (média=35.1ms, limite=37.2ms)",36.04,34.00,83.00,88.7%
2025-10-16,13:39:47,13:39:55,7.48,66.50,34.00,99.00,6,16594,"desvio estatístico (média=34.7ms, limite=36.0ms)",35.24,34.00,59.00,88.7%
2025-10-16,13:46:11,13:46:18,7.48,42.17,18.00,68.00,6,17310,"desvio estatístico (média=22.9ms, limite=49.5ms)",16.74,13.00,60.00,151.9%
2025-10-16,13:47:58,13:48:12,14.50,27.35,13.00,99.00,20,17524,"desvio estatístico (média=16.5ms, limite=34.6ms)",16.92,13.00,57.00,61.6%
2025-10-16,13:48:16,13:48:23,6.94,49.00,13.00,101.00,5,17561,threshold fixo (100ms),18.32,13.00,101.00,167.5%
2025-10-16,13:50:10,13:50:19,9.03,22.89,13.00,53.00,9,17787,"desvio estatístico (média=14.7ms, limite=24.0ms)",14.94,13.00,34.00,53.2%
2025-10-16,13:51:18,13:51:25,6.99,43.40,16.00,66.00,5,17923,"desvio estatístico (média=14.8ms, limite=26.4ms)",15.26,13.00,48.00,184.4%
2025-10-16,14:12:15,14:12:23,8.00,23.14,13.00,45.00,7,20410,"desvio estatístico (média=14.3ms, limite=19.2ms)",15.02,12.00,45.00,54.1%
2025-10-16,14:16:47,14:16:56,8.87,34.56,13.00,155.00,9,20953,threshold fixo (100ms),18.14,13.00,155.00,90.5%
2025-10-16,14:21:31,14:21:40,8.50,30.62,14.00,92.00,8,21519,"desvio estatístico (média=16.3ms, limite=32.5ms)",17.20,13.00,53.00,78.1%
2025-10-16,14:23:28,14:23:36,7.42,51.50,13.00,106.00,6,21752,threshold fixo (100ms),16.16,12.00,106.00,218.7%
2025-10-16,14:32:32,14:32:39,6.97,44.20,34.00,50.00,5,22824,"desvio estatístico (média=16.3ms, limite=35.8ms)",15.18,13.00,50.00,191.2%
2025-10-16,14:37:16,14:37:33,17.05,24.68,13.00,84.00,25,23391,"desvio estatístico (média=14.5ms, limite=20.1ms)",14.38,13.00,27.00,71.6%
2025-10-16,14:39:26,14:39:34,7.53,24.67,14.00,49.00,6,23650,"desvio estatístico (média=14.5ms, limite=22.4ms)",14.86,12.00,49.00,66.0%
2025-10-16,14:53:19,14:53:51,32.10,45.98,13.00,1484.00,53,25306,"desvio estatístico (média=14.9ms, limite=26.5ms)",16.38,13.00,51.00,180.7%
2025-10-16,14:55:42,14:55:49,7.48,75.50,28.00,254.00,6,25587,"desvio estatístico (média=15.3ms, limite=31.4ms)",15.48,13.00,39.00,387.7%
2025-10-16,15:08:20,15:08:29,8.45,29.62,13.00,47.00,8,27087,"desvio estatístico (média=14.5ms, limite=23.8ms)",15.68,13.00,38.00,88.9%
2025-10-16,15:10:48,15:11:01,12.95,36.94,13.00,145.00,17,27381,threshold fixo (100ms),16.12,12.00,103.00,129.2%
